Categoria;Comportamento;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;;;;;;;;;;
Interação com meio externo;Mexendo na planta do lado de fora do recinto;2;1;;1;1;;1;;2;;;;;;;;;;2;;;;;1;;;;;;1;1;;;;;;1;;1;;;;;;;;1;1;;;;;;;;;;;;
Interação com meio externo;Observando indivíduos do recinto ao lado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interação com meio externo;Olhando para cima;;;1;;;;1;;;1;;;;;1;;;1;;;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Interação com meio externo;Olhando para visitantes;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;3;;;;;;;;;;
Interação com meio externo;Olhando ao redor;;3;2;1;2;;;3;;;;;;;1;;1;;;;;1;;;;2;;2;;3;3;1;;3;;;3;2;1;;1;;1;;;;;;3;1;;;;;;;;;;
Empoleirar;Em pé no tronco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empoleirar;Pendurando no tronco de cabeça para baixo;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;
Empoleirar;Pendurando no tronco pelos pés;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;
Empoleirar;Pendurando na folha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empoleirar;Pendurando no teto com uma mão só;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empoleirar;Pendurando no teto com duas mãos;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empoleirar;Pendurando no teto com quatro patas;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;2;;1;;1;;2;;;1;;;;;;;;;;;;;;
